time|pressure
 3644093426.8064522743 |   710129
 3644093427.8064622879 |   710124
 3644093428.8065743446 |   710120
 3644093429.8064780235 |   710114
 3644093430.8063831329 |   710108
 3644093431.8064961433 |   710104
 3644093432.8065052032 |   710097
 3644093433.8065133095 |   710094
  3644093434.806417942 |   710093
 3644093435.8064260483 |   710093
 3644093436.8065390587 |   710092
 3644093437.8065481186 |   710094
 3644093438.8065571785 |   710096
 3644093439.8064622879 |   710098
 3644093440.8065743446 |   710099
 3644093441.8065829277 |   710101
 3644093442.8065919876 |   710104
 3644093443.8066000938 |   710108
 3644093444.8065052032 |   710113
 3644093445.8067221642 |   710117
 3644093446.8066272736 |   710120
 3644093447.8066353798 |   710123
 3644093448.8066430092 |   710124
 3644093449.8065490723 |   710123
  3644093450.806661129 |   710119
 3644093451.8066701889 |   710112
 3644093452.8065752983 |   710105
 3644093453.8067922592 |   710096
 3644093454.8064880371 |   710088
 3644093455.8067040443 |   710084
 3644093456.8067140579 |   710081
 3644093457.8066182137 |   710082
 3644093458.8067302704 |   710088
  3644093459.806740284 |   710098
 3644093460.8067479134 |   710109
 3644093461.8067569733 |   710119
 3644093462.8066620827 |   710129
 3644093463.8066701889 |   710136
 3644093464.8066782951 |   710139
 3644093465.8067922592 |   710138
 3644093466.8066959381 |   710131
  3644093467.806704998 |   710120
 3644093468.8069219589 |   710108
 3644093469.8068270683 |   710095
 3644093470.8067321777 |   710085
 3644093471.8120632172 |   710079
 3644093472.8067479134 |   710076
 3644093473.8066530228 |   710079
 3644093474.8067660332 |   710085
 3644093475.8068780899 |   710098
 3644093476.8068881035 |   710110
 3644093477.8068962097 |   710122
 3644093478.8068013191 |   710132
 3644093479.8069143295 |   710137
 3644093480.8071312904 |   710141
 3644093481.8067221642 |   710138
 3644093482.8067312241 |   710129
  3644093483.806740284 |   710120
 3644093484.8068532944 |   710108
 3644093485.8071751595 |   710096
 3644093486.8072872162 |   710085
 3644093487.8068790436 |   710077
 3644093488.8068881035 |   710074
 3644093489.8070011139 |   710076
 3644093490.8072180748 |   710083
 3644093491.8069143295 |   710093
 3644093492.8072361946 |   710105
  3644093493.807035923 |   710118
 3644093494.8070449829 |   710130
 3644093495.8074703217 |   710136
 3644093496.8070611954 |   710141
 3644093497.8070702553 |   710140
 3644093498.8070793152 |   710134
 3644093499.8070883751 |   710125
 3644093500.8068890572 |   710113
 3644093501.8068981171 |   710102
 3644093502.8069052696 |   710091
 3644093503.8071222305 |   710084
 3644093504.8071312904 |   710079
  3644093505.807035923 |   710079
 3644093506.8069400787 |   710081
 3644093507.8070540428 |   710090
 3644093508.8073749542 |   710099
 3644093509.8069663048 |   710111
 3644093510.8070802689 |   710122
 3644093511.8069839478 |   710131
 3644093512.8070969582 |   710137
 3644093513.8071060181 |   710140
 3644093514.8071141243 |   710140
 3644093515.8071231842 |   710135
 3644093516.8071322441 |   710128
  3644093517.807141304 |   710118
 3644093518.8072533607 |   710108
 3644093519.8070549965 |   710096
 3644093520.8073749542 |   710086
 3644093521.8071751595 |   710080
 3644093522.8071842194 |   710077
 3644093523.8071932793 |   710078
 3644093524.8072009087 |   710084
 3644093525.8072099686 |   710094
 3644093526.8072190285 |   710107
 3644093527.8071231842 |   710120
 3644093528.8074450493 |   710133
 3644093529.8071403503 |   710144
 3644093530.8070449829 |   710151
 3644093531.8075752258 |   710150
 3644093532.8075852394 |   710147
 3644093533.8072810173 |   710137
  3644093534.807185173 |   710124
 3644093535.8072981834 |   710109
 3644093536.8073062897 |   710095
 3644093537.8072109222 |   710083
 3644093538.8072190285 |   710075
 3644093539.8072280884 |   710073
 3644093540.8073410988 |   710076
 3644093541.8072462082 |   710086
 3644093542.8073582649 |   710099
 3644093543.8072633743 |   710115
 3644093544.8076882362 |   710129
 3644093545.8073840141 |   710141
 3644093546.8072891235 |   710149
 3644093547.8071942329 |   710151
 3644093548.8076190948 |   710148
 3644093549.8074193001 |   710141
   3644093550.80742836 |   710128
 3644093551.8077492714 |   710113
 3644093552.8076543808 |   710099
 3644093553.8073501587 |   710085
 3644093554.8074622154 |   710077
 3644093555.8072633743 |   710071
 3644093556.8072719574 |   710070
 3644093557.8073849678 |   710076
 3644093558.8073940277 |   710086
 3644093559.8075060844 |   710100
 3644093560.8078279495 |   710116
 3644093561.8074202538 |   710131
 3644093562.8074293137 |   710144
 3644093563.8075413704 |   710151
 3644093564.8073420525 |   710154
 3644093565.8073511124 |   710152
 3644093566.8074631691 |   710143
 3644093567.8077850342 |   710131
 3644093568.8074803352 |   710114
 3644093569.8074889183 |   710098
 3644093570.8073940277 |   710083
 3644093571.8076109886 |   710071
  3644093572.807516098 |   710065
 3644093573.8075242043 |   710065
 3644093574.8074293137 |   710071
 3644093575.8075423241 |   710082
  3644093576.807551384 |   710097
 3644093577.8075590134 |   710113
 3644093578.8076710701 |   710131
 3644093579.8074731827 |   710145
 3644093580.8076891899 |   710155
 3644093581.8076982498 |   710158
 3644093582.8074989319 |   710155
 3644093583.8076119423 |   710146
  3644093584.807516098 |   710133
 3644093585.8076291084 |   710116
 3644093586.8076372147 |   710101
 3644093587.8076472282 |   710086
 3644093588.8075499535 |   710074
 3644093589.8076639175 |   710069
 3644093590.8076720238 |   710070
 3644093591.8076820374 |   710076
 3644093592.8074812889 |   710086
 3644093593.8076982498 |   710102
 3644093594.8078112602 |   710116
 3644093595.8078203201 |   710130
 3644093596.8077249527 |   710141
 3644093597.8077330589 |   710147
 3644093598.8077421188 |   710148
 3644093599.8078551292 |   710144
 3644093600.8077602386 |   710136
 3644093601.8077683449 |   710126
 3644093602.8078813553 |   710114
 3644093603.8078899384 |   710104
 3644093604.8077940941 |   710095
 3644093605.8082203865 |   710089
 3644093606.8079161644 |   710088
 3644093607.8077163696 |   710088
   3644093608.80782938 |   710093
 3644093609.8079433441 |   710099
 3644093610.8079509735 |   710105
 3644093611.8078551292 |   710112
 3644093612.8079681396 |   710118
 3644093613.8082900047 |   710123
 3644093614.8078813553 |   710125
 3644093615.8078899384 |   710127
 3644093616.8080029488 |   710127
  3644093617.808324337 |   710125
 3644093618.8084363937 |   710124
 3644093619.8079252243 |   710123
 3644093620.8078303337 |   710121
 3644093621.8078389168 |   710119
  3644093622.808054924 |   710115
 3644093623.8083763123 |   710113
 3644093624.8079681396 |   710111
 3644093625.8080811501 |   710107
   3644093626.80809021 |   710105
 3644093627.8079953194 |   710105
 3644093628.8080029488 |   710104
 3644093629.8080120087 |   710106
 3644093630.8081250191 |   710108
 3644093631.8079252243 |   710113
 3644093632.8083500862 |   710116
 3644093633.8079423904 |   710122
 3644093634.8079509735 |   710125
 3644093635.8080639839 |   710126
 3644093636.8081769943 |   710128
 3644093637.8080821037 |   710127
   3644093638.80809021 |   710124
 3644093639.8141393661 |   710122
 3644093640.8080029488 |   710121
 3644093641.8081173897 |   710118
 3644093642.8080210686 |   710115
 3644093643.8080301285 |   710114
 3644093644.8080382347 |   710112
 3644093645.8081521988 |   710112
 3644093646.8079519272 |   710112
 3644093647.8080649376 |   710112
 3644093648.8080739975 |   710112
 3644093649.8081851006 |   710114
 3644093650.8081941605 |   710114
  3644093651.808619976 |   710116
 3644093652.8081083298 |   710118
 3644093653.8080129623 |   710120
 3644093654.8081259727 |   710121
 3644093655.8082380295 |   710125
 3644093656.8082470894 |   710126
 3644093657.8082561493 |   710127
  3644093658.808160305 |   710128
 3644093659.8081693649 |   710127
  3644093660.808177948 |   710124
 3644093661.8081860542 |   710121
 3644093662.8080911636 |   710117
  3644093663.808204174 |   710113
 3644093664.8085250854 |   710111
 3644093665.8082222939 |   710109
 3644093666.8083343506 |   710108
 3644093667.8083429337 |   710107
 3644093668.8082470894 |   710108
 3644093669.8082561493 |   710111
 3644093670.8082642555 |   710113
 3644093671.8085861206 |   710114
 3644093672.8083863258 |   710117
 3644093673.8083939552 |   710119
 3644093674.8081951141 |   710123
  3644093675.808412075 |   710125
 3644093676.8083171844 |   710128
